id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
463,SAA,50,10,2,20,100,2,2059,"0,01562356949"
464,HS,50,10,2,20,100,2,1955,"0,01562666893"
465,RS,50,10,2,20,100,2,11297,"0,06249189377"
466,SAA,50,10,2,20,100,2,2267,"0,00650978088"
467,HS,50,10,2,20,100,2,2136,0
468,RS,50,10,2,20,100,2,12154,"0,08461999893"
469,SAA,50,10,2,20,100,2,2235,"0,01562190056"
470,HS,50,10,2,20,100,2,2101,"0,00650978088"
471,RS,50,10,2,20,100,2,20179,"0,1536109448"
472,SAA,50,10,2,20,100,2,2090,"0,00908255577"
473,HS,50,10,2,20,100,2,1985,"0,01561784744"
474,RS,50,10,2,20,100,2,6897,"0,03775644302"
475,SAA,50,10,2,20,100,2,2183,"0,01562428474"
476,HS,50,10,2,20,100,2,2077,0
477,RS,50,10,2,20,100,2,5423,"0,04686379433"
478,SAA,50,10,2,20,100,2,2232,"0,01562380791"
479,HS,50,10,2,20,100,2,2114,0
480,RS,50,10,2,20,100,2,11689,"0,1002414227"
481,SAA,50,10,2,20,20,1,703,"0,01562905312"
482,HS,50,10,2,20,20,1,343,"0,01562261581"
483,RS,50,10,2,20,20,1,560,0
484,SAA,50,10,2,20,20,1,613,0
485,HS,50,10,2,20,20,1,298,0
486,RS,50,10,2,20,20,1,517,0
487,SAA,50,10,2,20,20,1,469,0
488,HS,50,10,2,20,20,1,200,"0,01562571526"
489,RS,50,10,2,20,20,1,230,0
490,SAA,50,10,2,20,20,1,1229,"0,01561903954"
491,HS,50,10,2,20,20,1,733,0
492,RS,50,10,2,20,20,1,1710,"0,02213001251"
493,SAA,50,10,2,20,20,1,544,"0,01562070847"
494,HS,50,10,2,20,20,1,314,0
495,RS,50,10,2,20,20,1,371,0
496,SAA,50,10,2,20,20,1,1206,0
497,HS,50,10,2,20,20,1,678,0
498,RS,50,10,2,20,20,1,1580,"0,01562142372"
499,SAA,50,10,2,20,20,1,883,"0,0156288147"
500,HS,50,10,2,20,20,1,473,"0,00498461723"
501,RS,50,10,2,20,20,1,1314,0
502,SAA,50,10,2,20,20,1,698,0
503,HS,50,10,2,20,20,1,346,0
504,RS,50,10,2,20,20,1,720,0
505,SAA,50,10,2,20,20,1,824,0
506,HS,50,10,2,20,20,1,408,0
507,RS,50,10,2,20,20,1,387,0
508,SAA,50,10,2,20,20,1,809,0
509,HS,50,10,2,20,20,1,454,0
510,RS,50,10,2,20,20,1,380,0
511,SAA,50,10,2,20,20,2,729,"0,01562047005"
512,HS,50,10,2,20,20,2,387,0
513,RS,50,10,2,20,20,2,492,"0,0156276226"
514,SAA,50,10,2,20,20,2,474,0
515,HS,50,10,2,20,20,2,262,0
516,RS,50,10,2,20,20,2,478,0
517,SAA,50,10,2,20,20,2,322,0
518,HS,50,10,2,20,20,2,185,0
519,RS,50,10,2,20,20,2,348,0
520,SAA,50,10,2,20,20,2,1180,"0,01561903954"
521,HS,50,10,2,20,20,2,460,0
522,RS,50,10,2,20,20,2,705,0
523,SAA,50,10,2,20,20,2,733,"0,01561975479"
524,HS,50,10,2,20,20,2,392,0
525,RS,50,10,2,20,20,2,579,0
526,SAA,50,10,2,20,20,2,1045,"0,01562094688"
527,HS,50,10,2,20,20,2,561,0
528,RS,50,10,2,20,20,2,1015,"0,00650763512"
529,SAA,50,10,2,20,20,2,611,0
530,HS,50,10,2,20,20,2,302,0
531,RS,50,10,2,20,20,2,417,0
532,SAA,50,10,2,20,20,2,1003,0
533,HS,50,10,2,20,20,2,631,0
