batch,Instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,percNeg,par_CP,vertices,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,effort,NPV,time
"['50', '10', '2', '10', '0']",dg10.tpf,HS,50,10,2,10,0,2,52,94,8,2,1,"1,591836735",2,1,"1,612244898","0,1",0,183,61,52,"611,8981138",0
"['50', '10', '2', '10', '0']",dg10.tpf,RS,50,10,2,10,0,2,52,94,8,2,1,"1,591836735",2,1,"1,612244898","0,1",0,183,61,52,"611,8981138",0
"['50', '10', '2', '10', '0']",dg2.tpf,SAA,50,10,2,10,0,2,52,97,8,2,1,"1,571428571",2,1,"1,653061224","0,1",0,147,49,110,"599,4789269",0
"['50', '10', '2', '10', '0']",dg2.tpf,HS,50,10,2,10,0,2,52,97,8,2,1,"1,571428571",2,1,"1,653061224","0,1",0,147,49,52,"599,4789269",0
"['50', '10', '2', '10', '0']",dg2.tpf,RS,50,10,2,10,0,2,52,97,8,2,1,"1,571428571",2,1,"1,653061224","0,1",0,147,49,52,"599,4789269",0
"['50', '10', '2', '10', '0']",dg3.tpf,SAA,50,10,2,10,0,2,52,96,8,2,1,"1,551020408",2,1,"1,571428571","0,1",0,156,52,107,"672,1954634",0
"['50', '10', '2', '10', '0']",dg3.tpf,HS,50,10,2,10,0,2,52,96,8,2,1,"1,551020408",2,1,"1,571428571","0,1",0,156,52,52,"672,1954634",0
"['50', '10', '2', '10', '0']",dg3.tpf,RS,50,10,2,10,0,2,52,96,8,2,1,"1,551020408",2,1,"1,571428571","0,1",0,156,52,52,"672,1954634",0
"['50', '10', '2', '10', '0']",dg4.tpf,SAA,50,10,2,10,0,2,52,95,7,2,1,"1,551020408",2,1,"1,571428571","0,1",0,150,50,106,"683,4883365",0
"['50', '10', '2', '10', '0']",dg4.tpf,HS,50,10,2,10,0,2,52,95,7,2,1,"1,551020408",2,1,"1,571428571","0,1",0,150,50,52,"683,4883365",0
"['50', '10', '2', '10', '0']",dg4.tpf,RS,50,10,2,10,0,2,52,95,7,2,1,"1,551020408",2,1,"1,571428571","0,1",0,150,50,52,"683,4883365",0
"['50', '10', '2', '10', '0']",dg5.tpf,SAA,50,10,2,10,0,2,52,93,9,2,1,"1,612244898",2,1,"1,551020408","0,1",0,156,52,110,"468,8166297",0
