Id;Batch;Instance;algo;vertices;layer;fan;disRate;percNeg;cpMult;Vertices;Edges;Diameter;Max in degree;Min in degree;Max out degree;Min out degree;Negative activities;Deadline;Last task Early Finish;effort;NPV
46;16-4-3-25-50-1;dg5.tpf;SAA;16;4;3;25;50;1;18;41;6;7;1;6;1;55,55555556;56;28;193;89,81
47;16-4-3-25-50-1;dg5.tpf;HS;16;4;3;25;50;1;18;41;6;7;1;6;1;55,55555556;56;28;140;89,81
48;16-4-3-25-50-1;dg5.tpf;RS;16;4;3;25;50;1;18;41;6;7;1;6;1;55,55555556;56;28;376;89,81
49;16-4-3-25-50-1;dg6.tpf;SAA;16;4;3;25;50;1;18;36;7;7;1;5;1;38,88888889;62;31;105;32,67
50;16-4-3-25-50-1;dg6.tpf;HS;16;4;3;25;50;1;18;36;7;7;1;5;1;38,88888889;62;31;68;32,67
51;16-4-3-25-50-1;dg6.tpf;RS;16;4;3;25;50;1;18;36;7;7;1;5;1;38,88888889;62;31;109;32,67
52;16-4-3-25-50-1;dg7.tpf;SAA;16;4;3;25;50;1;18;40;6;6;1;4;1;44,44444444;72;36;365;44
53;16-4-3-25-50-1;dg7.tpf;HS;16;4;3;25;50;1;18;40;6;6;1;4;1;44,44444444;72;36;235;44
54;16-4-3-25-50-1;dg7.tpf;RS;16;4;3;25;50;1;18;40;6;6;1;4;1;44,44444444;72;36;367;44
55;16-4-3-25-50-1;dg8.tpf;SAA;16;4;3;25;50;1;18;38;6;6;1;4;1;38,88888889;78;39;282;126,24
56;16-4-3-25-50-1;dg8.tpf;HS;16;4;3;25;50;1;18;38;6;6;1;4;1;38,88888889;78;39;171;126,24
57;16-4-3-25-50-1;dg8.tpf;RS;16;4;3;25;50;1;18;38;6;6;1;4;1;38,88888889;78;39;248;126,24
58;16-4-3-25-50-1;dg9.tpf;SAA;16;4;3;25;50;1;18;43;6;6;1;6;1;50;64;32;291;78,86
59;16-4-3-25-50-1;dg9.tpf;HS;16;4;3;25;50;1;18;43;6;6;1;6;1;50;64;32;193;78,86
60;16-4-3-25-50-1;dg9.tpf;RS;16;4;3;25;50;1;18;43;6;6;1;6;1;50;64;32;409;78,86
61;16-4-4-25-25-1;dg1.tpf;SAA;16;4;4;25;25;1;18;46;6;5;1;5;1;66,66666667;70;35;258;93,22
62;16-4-4-25-25-1;dg1.tpf;HS;16;4;4;25;25;1;18;46;6;5;1;5;1;66,66666667;70;35;224;93,22
63;16-4-4-25-25-1;dg1.tpf;RS;16;4;4;25;25;1;18;46;6;5;1;5;1;66,66666667;70;35;1014;93,22
64;16-4-4-25-25-1;dg10.tpf;SAA;16;4;4;25;25;1;18;46;6;6;1;4;1;77,77777778;64;32;239;-22,57
65;16-4-4-25-25-1;dg10.tpf;HS;16;4;4;25;25;1;18;46;6;6;1;4;1;77,77777778;64;32;204;-22,57
66;16-4-4-25-25-1;dg10.tpf;RS;16;4;4;25;25;1;18;46;6;6;1;4;1;77,77777778;64;32;1087;-22,57
67;16-4-4-25-25-1;dg2.tpf;SAA;16;4;4;25;25;1;18;45;6;7;1;4;1;77,77777778;68;34;436;-2,2
68;16-4-4-25-25-1;dg2.tpf;HS;16;4;4;25;25;1;18;45;6;7;1;4;1;77,77777778;68;34;370;-2,2
69;16-4-4-25-25-1;dg2.tpf;RS;16;4;4;25;25;1;18;45;6;7;1;4;1;77,77777778;68;34;1128;-2,2
70;16-4-4-25-25-1;dg3.tpf;SAA;16;4;4;25;25;1;18;39;6;7;1;4;1;61,11111111;66;33;204;64,64
71;16-4-4-25-25-1;dg3.tpf;HS;16;4;4;25;25;1;18;39;6;7;1;4;1;61,11111111;66;33;151;64,64
72;16-4-4-25-25-1;dg3.tpf;RS;16;4;4;25;25;1;18;39;6;7;1;4;1;61,11111111;66;33;374;64,64
73;16-4-4-25-25-1;dg4.tpf;SAA;16;4;4;25;25;1;18;49;6;4;1;6;1;77,77777778;70;35;314;82,9
74;16-4-4-25-25-1;dg4.tpf;HS;16;4;4;25;25;1;18;49;6;4;1;6;1;77,77777778;70;35;285;82,9
75;16-4-4-25-25-1;dg4.tpf;RS;16;4;4;25;25;1;18;49;6;4;1;6;1;77,77777778;70;35;708;82,9
76;16-4-4-25-25-1;dg5.tpf;SAA;16;4;4;25;25;1;18;52;6;5;1;5;1;77,77777778;70;35;379;15,1
77;16-4-4-25-25-1;dg5.tpf;HS;16;4;4;25;25;1;18;52;6;5;1;5;1;77,77777778;70;35;328;15,1
78;16-4-4-25-25-1;dg5.tpf;RS;16;4;4;25;25;1;18;52;6;5;1;5;1;77,77777778;70;35;739;15,1
79;16-4-4-25-25-1;dg6.tpf;SAA;16;4;4;25;25;1;18;45;6;5;1;4;1;77,77777778;54;27;458;-5,11
80;16-4-4-25-25-1;dg6.tpf;HS;16;4;4;25;25;1;18;45;6;5;1;4;1;77,77777778;54;27;359;-5,11
81;16-4-4-25-25-1;dg6.tpf;RS;16;4;4;25;25;1;18;45;6;5;1;4;1;77,77777778;54;27;866;-5,11
82;16-4-4-25-25-1;dg7.tpf;SAA;16;4;4;25;25;1;18;40;6;8;1;4;1;61,11111111;56;28;146;3,73
83;16-4-4-25-25-1;dg7.tpf;HS;16;4;4;25;25;1;18;40;6;8;1;4;1;61,11111111;56;28;115;3,73
84;16-4-4-25-25-1;dg7.tpf;RS;16;4;4;25;25;1;18;40;6;8;1;4;1;61,11111111;56;28;450;3,73
85;16-4-4-25-25-1;dg8.tpf;SAA;16;4;4;25;25;1;18;47;6;4;1;5;1;66,66666667;76;38;388;-1,3
86;16-4-4-25-25-1;dg8.tpf;HS;16;4;4;25;25;1;18;47;6;4;1;5;1;66,66666667;76;38;322;-1,3
87;16-4-4-25-25-1;dg8.tpf;RS;16;4;4;25;25;1;18;47;6;4;1;5;1;66,66666667;76;38;834;-1,3
88;16-4-4-25-25-1;dg9.tpf;SAA;16;4;4;25;25;1;18;41;6;4;1;4;1;72,22222222;68;34;218;46,74
