id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
700;SAA;64;8;4;25;50;1;2614
701;HS;64;8;4;25;50;1;1754
702;RS;64;8;4;25;50;1;14541
703;SAA;64;8;4;25;50;1;2285
704;HS;64;8;4;25;50;1;1453
705;RS;64;8;4;25;50;1;13233
706;SAA;64;8;4;25;50;1;1164
707;HS;64;8;4;25;50;1;677
708;RS;64;8;4;25;50;1;8017
709;SAA;64;8;4;25;50;1;1587
710;HS;64;8;4;25;50;1;1144
711;RS;64;8;4;25;50;1;5866
712;SAA;64;8;4;25;50;1;906
713;HS;64;8;4;25;50;1;578
714;RS;64;8;4;25;50;1;6045
715;SAA;64;8;4;25;50;1;965
716;HS;64;8;4;25;50;1;608
717;RS;64;8;4;25;50;1;11914
718;SAA;64;8;4;25;50;1;2540
719;HS;64;8;4;25;50;1;1320
720;RS;64;8;4;25;50;1;4492
