id;algo;vertices;layer;fan;discRate;percNeg;cpMult;effort
164;HS;16;6;3;25;50;1;87
165;RS;16;6;3;25;50;1;177
166;SAA;16;6;3;25;50;1;94
167;HS;16;6;3;25;50;1;52
168;RS;16;6;3;25;50;1;246
169;SAA;16;6;3;25;50;1;105
170;HS;16;6;3;25;50;1;65
171;RS;16;6;3;25;50;1;189
172;SAA;16;6;3;25;50;1;200
173;HS;16;6;3;25;50;1;127
174;RS;16;6;3;25;50;1;578
175;SAA;16;6;3;25;50;1;307
176;HS;16;6;3;25;50;1;205
177;RS;16;6;3;25;50;1;790
178;SAA;16;6;3;25;50;1;188
179;HS;16;6;3;25;50;1;115
180;RS;16;6;3;25;50;1;177
181;SAA;16;6;4;25;25;1;317
182;HS;16;6;4;25;25;1;223
183;RS;16;6;4;25;25;1;717
184;SAA;16;6;4;25;25;1;276
185;HS;16;6;4;25;25;1;315
186;RS;16;6;4;25;25;1;695
187;SAA;16;6;4;25;25;1;293
188;HS;16;6;4;25;25;1;224
189;RS;16;6;4;25;25;1;1037
190;SAA;16;6;4;25;25;1;257
191;HS;16;6;4;25;25;1;207
192;RS;16;6;4;25;25;1;1019
193;SAA;16;6;4;25;25;1;428
194;HS;16;6;4;25;25;1;291
195;RS;16;6;4;25;25;1;665
196;SAA;16;6;4;25;25;1;327
197;HS;16;6;4;25;25;1;248
198;RS;16;6;4;25;25;1;799
199;SAA;16;6;4;25;25;1;436
200;HS;16;6;4;25;25;1;371
201;RS;16;6;4;25;25;1;1621
202;SAA;16;6;4;25;25;1;326
203;HS;16;6;4;25;25;1;280
204;RS;16;6;4;25;25;1;1571
205;SAA;16;6;4;25;25;1;253
206;HS;16;6;4;25;25;1;208
207;RS;16;6;4;25;25;1;325
208;SAA;16;6;4;25;25;1;310
209;HS;16;6;4;25;25;1;239
210;RS;16;6;4;25;25;1;1586
211;SAA;16;6;4;25;50;1;168
212;HS;16;6;4;25;50;1;73
213;RS;16;6;4;25;50;1;365
214;SAA;16;6;4;25;50;1;141
215;HS;16;6;4;25;50;1;91
216;RS;16;6;4;25;50;1;951
217;SAA;16;6;4;25;50;1;188
218;HS;16;6;4;25;50;1;111
219;RS;16;6;4;25;50;1;146
220;SAA;16;6;4;25;50;1;160
221;HS;16;6;4;25;50;1;113
222;RS;16;6;4;25;50;1;213
223;SAA;16;6;4;25;50;1;130
224;HS;16;6;4;25;50;1;86
225;RS;16;6;4;25;50;1;234
226;SAA;16;6;4;25;50;1;251
227;HS;16;6;4;25;50;1;156
228;RS;16;6;4;25;50;1;607
229;SAA;16;6;4;25;50;1;285
230;HS;16;6;4;25;50;1;283
231;RS;16;6;4;25;50;1;736
232;SAA;16;6;4;25;50;1;260
233;HS;16;6;4;25;50;1;187
234;RS;16;6;4;25;50;1;264
235;SAA;16;6;4;25;50;1;236
236;HS;16;6;4;25;50;1;154
237;RS;16;6;4;25;50;1;635
238;SAA;16;6;4;25;50;1;300
239;HS;16;6;4;25;50;1;238
240;RS;16;6;4;25;50;1;863
241;SAA;16;8;3;25;25;1;320
242;HS;16;8;3;25;25;1;277
243;RS;16;8;3;25;25;1;1603
244;SAA;16;8;3;25;25;1;249
245;HS;16;8;3;25;25;1;184
246;RS;16;8;3;25;25;1;743
247;SAA;16;8;3;25;25;1;229
248;HS;16;8;3;25;25;1;178
249;RS;16;8;3;25;25;1;739
250;SAA;16;8;3;25;25;1;252
251;HS;16;8;3;25;25;1;183
252;RS;16;8;3;25;25;1;411
253;SAA;16;8;3;25;25;1;281
254;HS;16;8;3;25;25;1;229
255;RS;16;8;3;25;25;1;1624
256;SAA;16;8;3;25;25;1;245
257;HS;16;8;3;25;25;1;201
258;RS;16;8;3;25;25;1;640
259;SAA;16;8;3;25;25;1;227
260;HS;16;8;3;25;25;1;190
261;RS;16;8;3;25;25;1;497
262;SAA;16;8;3;25;25;1;194
263;HS;16;8;3;25;25;1;147
264;RS;16;8;3;25;25;1;1031
265;SAA;16;8;3;25;25;1;303
266;HS;16;8;3;25;25;1;226
267;RS;16;8;3;25;25;1;714
268;SAA;16;8;3;25;25;1;396
269;HS;16;8;3;25;25;1;314
270;RS;16;8;3;25;25;1;1732
271;SAA;16;8;3;25;50;1;197
272;HS;16;8;3;25;50;1;90
273;RS;16;8;3;25;50;1;518
274;SAA;16;8;3;25;50;1;119
275;HS;16;8;3;25;50;1;72
276;RS;16;8;3;25;50;1;221
277;SAA;16;8;3;25;50;1;119
278;HS;16;8;3;25;50;1;75
279;RS;16;8;3;25;50;1;132
280;SAA;16;8;3;25;50;1;181
281;HS;16;8;3;25;50;1;89
282;RS;16;8;3;25;50;1;513
283;SAA;16;8;3;25;50;1;324
284;HS;16;8;3;25;50;1;205
285;RS;16;8;3;25;50;1;1473
286;SAA;16;8;3;25;50;1;264
287;HS;16;8;3;25;50;1;188
288;RS;16;8;3;25;50;1;546
289;SAA;16;8;3;25;50;1;121
290;HS;16;8;3;25;50;1;68
291;RS;16;8;3;25;50;1;316
292;SAA;16;8;3;25;50;1;169
293;HS;16;8;3;25;50;1;80
294;RS;16;8;3;25;50;1;553
295;SAA;16;8;3;25;50;1;98
296;HS;16;8;3;25;50;1;52
297;RS;16;8;3;25;50;1;65
298;SAA;16;8;3;25;50;1;112
299;HS;16;8;3;25;50;1;69
300;RS;16;8;3;25;50;1;386
301;SAA;16;8;4;25;25;1;178
302;HS;16;8;4;25;25;1;112
303;RS;16;8;4;25;25;1;224
304;SAA;16;8;4;25;25;1;252
305;HS;16;8;4;25;25;1;154
306;RS;16;8;4;25;25;1;331
307;SAA;16;8;4;25;25;1;305
308;HS;16;8;4;25;25;1;207
309;RS;16;8;4;25;25;1;645
310;SAA;16;8;4;25;25;1;304
311;HS;16;8;4;25;25;1;225
312;RS;16;8;4;25;25;1;355
313;SAA;16;8;4;25;25;1;343
314;HS;16;8;4;25;25;1;297
315;RS;16;8;4;25;25;1;1040
316;SAA;16;8;4;25;25;1;317
317;HS;16;8;4;25;25;1;273
318;RS;16;8;4;25;25;1;1056
319;SAA;16;8;4;25;25;1;202
320;HS;16;8;4;25;25;1;146
321;RS;16;8;4;25;25;1;506
322;SAA;16;8;4;25;25;1;398
323;HS;16;8;4;25;25;1;350
324;RS;16;8;4;25;25;1;2050
325;SAA;16;8;4;25;25;1;216
326;HS;16;8;4;25;25;1;158
327;RS;16;8;4;25;25;1;612
328;SAA;16;8;4;25;25;1;249
329;HS;16;8;4;25;25;1;170
330;RS;16;8;4;25;25;1;1318
331;SAA;16;8;4;25;50;1;135
332;HS;16;8;4;25;50;1;62
333;RS;16;8;4;25;50;1;344
334;SAA;16;8;4;25;50;1;250
335;HS;16;8;4;25;50;1;151
336;RS;16;8;4;25;50;1;279
337;SAA;16;8;4;25;50;1;191
338;HS;16;8;4;25;50;1;76
339;RS;16;8;4;25;50;1;222
340;SAA;16;8;4;25;50;1;222
341;HS;16;8;4;25;50;1;143
342;RS;16;8;4;25;50;1;456
343;SAA;16;8;4;25;50;1;160
344;HS;16;8;4;25;50;1;108
345;RS;16;8;4;25;50;1;595
346;SAA;16;8;4;25;50;1;145
347;HS;16;8;4;25;50;1;69
348;RS;16;8;4;25;50;1;185
349;SAA;16;8;4;25;50;1;182
350;HS;16;8;4;25;50;1;128
351;RS;16;8;4;25;50;1;307
352;SAA;16;8;4;25;50;1;288
